date,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,TRXUSDT,WAVESUSDT,MATICUSDT,LTCUSDT,CHZUSDT,BCHUSDT,FTMUSDT,DOGEUSDT,BNBUSDT,NEARUSDT,GMTUSDT,DASHUSDT,AVAXUSDT
2023-08-03 09:41,29135.25,1839.08,0.6816,23.1670,0.076727,1.8924,0.6776,86.18,0.076986,228.23,0.2374,0.074737,240.70,1.4129,0.2087,31.89,12.4977
2023-08-03 09:45,29126.23,1838.48,0.6814,23.1443,0.076686,1.8921,0.6774,86.10,0.076966,228.13,0.2372,0.074673,240.86,1.4109,0.2084,31.86,12.4998
2023-08-03 09:50,29150.00,1840.34,0.6813,23.1851,0.076751,1.8937,0.6782,86.35,0.077114,228.56,0.2377,0.074804,241.06,1.4124,0.2084,31.99,12.5115
2023-08-03 09:55,29141.18,1839.60,0.6800,23.1511,0.076752,1.8918,0.6770,86.31,0.077109,228.37,0.2377,0.074689,240.85,1.4109,0.2086,31.91,12.5056
2023-08-03 10:00,29130.85,1839.44,0.6787,23.0995,0.076707,1.8914,0.6777,86.20,0.077060,228.01,0.2372,0.074649,240.78,1.4082,0.2084,31.91,12.4944
2023-08-03 10:05,29117.20,1837.82,0.6775,23.0646,0.076567,1.8890,0.6759,86.30,0.077115,227.95,0.2371,0.074563,240.53,1.4085,0.2078,31.98,12.4979
2023-08-03 10:10,29117.01,1837.99,0.6779,23.0860,0.076667,1.8896,0.6764,86.42,0.077152,227.71,0.2357,0.074630,240.58,1.4103,0.2079,31.96,12.4968
2023-08-03 10:15,29107.98,1837.08,0.6763,23.0448,0.076673,1.8879,0.6759,86.33,0.077056,227.60,0.2353,0.074513,240.52,1.4087,0.2079,31.92,12.4892
2023-08-03 10:20,29124.90,1837.88,0.6769,23.0680,0.076727,1.8901,0.6769,86.56,0.077274,228.00,0.2358,0.074642,240.65,1.4096,0.2081,31.99,12.4968
2023-08-03 10:25,29070.38,1833.82,0.6707,22.9197,0.076553,1.8841,0.6739,86.23,0.077034,227.07,0.2349,0.074316,240.11,1.4034,0.2075,31.86,12.4723
2023-08-03 10:30,29092.58,1835.49,0.6695,22.9720,0.076556,1.8853,0.6744,86.41,0.077015,227.07,0.2350,0.074374,240.13,1.4037,0.2074,31.88,12.4702
2023-08-03 10:35,29096.71,1836.00,0.6730,22.9865,0.076631,1.8859,0.6754,86.54,0.076993,227.75,0.2353,0.074505,240.17,1.4064,0.2075,31.92,12.4840
2023-08-03 10:40,29084.11,1835.03,0.6719,22.9475,0.076631,1.8827,0.6744,86.48,0.076941,227.36,0.2350,0.074425,239.96,1.4036,0.2075,31.90,12.4709
2023-08-03 10:45,29097.00,1835.70,0.6730,22.9727,0.076641,1.8836,0.6750,86.54,0.076928,227.69,0.2352,0.074447,240.04,1.4037,0.2074,31.91,12.4716
2023-08-03 10:50,29080.43,1834.56,0.6720,22.8141,0.076575,1.8800,0.6731,86.42,0.076653,227.10,0.2347,0.074304,239.81,1.4026,0.2073,31.84,12.4438
2023-08-03 10:55,29050.44,1833.68,0.6714,22.6642,0.076494,1.8799,0.6724,86.40,0.076579,226.83,0.2343,0.074196,239.63,1.4001,0.2067,31.82,12.4305
2023-08-03 11:00,29043.57,1832.97,0.6707,22.6969,0.076519,1.8757,0.6724,86.29,0.076606,227.22,0.2345,0.074179,239.61,1.3993,0.2067,31.79,12.4282
2023-08-03 11:05,29069.98,1834.50,0.6721,22.7332,0.076576,1.8805,0.6733,86.38,0.076635,227.59,0.2350,0.074265,239.59,1.3995,0.2067,31.85,12.4392
2023-08-03 11:10,29040.01,1832.50,0.6703,22.6836,0.076500,1.8756,0.6719,86.02,0.076511,227.44,0.2343,0.074142,239.57,1.3966,0.2062,31.80,12.4198
2023-08-03 11:15,29065.87,1834.84,0.6715,22.7300,0.076546,1.8809,0.6734,86.15,0.076637,227.76,0.2347,0.074309,239.53,1.3999,0.2064,31.86,12.4430
2023-08-03 11:20,29064.05,1834.10,0.6706,22.7266,0.076477,1.8803,0.6728,85.87,0.076535,227.62,0.2346,0.074187,239.62,1.3952,0.2067,31.89,12.4352
2023-08-03 11:25,29052.00,1833.72,0.6713,22.7346,0.076490,1.8804,0.6727,85.77,0.076552,227.58,0.2346,0.074187,239.43,1.3923,0.2064,31.90,12.4380
2023-08-03 11:30,29051.58,1832.73,0.6702,22.6977,0.076427,1.8809,0.6727,85.97,0.076474,227.45,0.2347,0.074100,239.32,1.3913,0.2064,31.86,12.4368
2023-08-03 11:35,29071.43,1833.78,0.6701,22.7513,0.076389,1.8803,0.6736,86.16,0.076497,228.13,0.2348,0.074226,239.22,1.3947,0.2061,31.83,12.4450
2023-08-03 11:40,29075.85,1834.39,0.6697,22.7753,0.076579,1.8813,0.6733,86.37,0.076500,227.89,0.2349,0.074212,239.28,1.3941,0.2066,31.90,12.4631
2023-08-03 11:45,29075.85,1833.30,0.6702,22.7656,0.076550,1.8806,0.6736,86.36,0.076505,228.20,0.2348,0.074009,239.25,1.3922,0.2066,31.93,12.4534
2023-08-03 11:50,29045.66,1831.60,0.6666,22.7088,0.076494,1.8769,0.6727,86.19,0.076145,227.32,0.2342,0.073970,239.08,1.3905,0.2062,31.88,12.4457
2023-08-03 11:55,29040.00,1830.69,0.6581,22.6533,0.076332,1.8712,0.6705,86.09,0.076070,227.24,0.2340,0.073108,238.43,1.3849,0.2056,31.74,12.4000
2023-08-03 12:00,29078.83,1831.63,0.6602,22.6607,0.076479,1.8730,0.6718,86.27,0.076039,227.64,0.2351,0.073141,238.78,1.3859,0.2059,31.76,12.4393
2023-08-03 12:05,29101.34,1832.75,0.6625,22.7478,0.076497,1.8782,0.6729,86.36,0.076307,228.16,0.2353,0.073474,239.21,1.3896,0.2059,31.90,12.4599
2023-08-03 12:10,29108.32,1833.14,0.6619,22.7100,0.076538,1.8781,0.6729,86.26,0.076358,228.04,0.2352,0.073457,239.25,1.3890,0.2059,31.94,12.4639
